Type of experience;Incident Type;Who was affected;Place;Person/Group who committed incident;Date
heard;speech/rhetoric;me.;off campus;i’m not sure/unknown.;2024-09-12 12:15:27
experienced;speech/rhetoric;me.;online;—;2024-09-12 12:15:44
felt;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;at a student club;a campus club or organization.;2024-09-12 12:20:18
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a student.;2024-09-12 12:20:47
experienced;speech/rhetoric;Jews or the Jewish community.;in a classroom;a student.;2024-09-12 12:21:26
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;online;a campus club or organization.;2024-09-12 12:21:41
saw;graffiti;Israel.;on the quad;i’m not sure/unknown.;2024-09-12 12:23:12
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a campus club or organization.;2024-09-12 12:23:26
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at Hillel or Chabad;a student.;2024-09-12 12:24:32
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;i’m not sure/unknown.;2024-09-12 12:26:34
saw;physical assault;Jewish students.;off campus;someone from off campus.;2024-09-12 12:26:56
experienced;something else;—;—;—;2024-09-12 12:29:34
heard;property damage;Jews or the Jewish community.;at Hillel or Chabad;—;2024-09-12 12:32:27
heard;speech/rhetoric;Israel.;on the quad;a professor.;2024-09-12 12:34:06
experienced;speech/rhetoric;the Israeli government.;at Hillel or Chabad;a student.;2024-09-12 12:34:36
experienced;physical assault;me.;in a classroom;a student.;2024-09-12 12:34:55
felt;something else;me.;in my dorm;a student.;2024-09-12 12:35:40
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;i’m not sure/unknown.;2024-09-12 12:36:07
felt;speech/rhetoric;Jews or the Jewish community.;off campus;a student.;2024-09-12 12:37:40
heard;speech/rhetoric;Israel.;in a classroom;a student.;2024-09-12 12:49:44
heard;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;at a student club;someone online.;2024-09-12 12:57:48
experienced;graffiti;me.;in my dorm;a student.;2024-09-12 12:58:13
heard;speech/rhetoric;Israel.;in a classroom;a student.;2024-09-12 13:03:43
experienced;speech/rhetoric;me.;on the quad;a student.;2024-09-12 13:04:18
felt;speech/rhetoric;me.;at my fraternity or sorority;a student.;2024-09-12 13:04:33
heard;speech/rhetoric;me.;on the quad;—;2024-09-12 13:09:28
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-09-12 13:14:15
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;—;2024-09-12 13:19:47
saw;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;on the quad;—;2024-09-12 13:20:47
experienced;physical assault;me.;at a student club;i’m not sure/unknown.;2024-09-12 13:22:24
heard;speech/rhetoric;the Israeli government.;online;i’m not sure/unknown.;2024-09-12 13:29:29
experienced;call for BDS (Boycott, Divestment, Sanctions);me.;at a student club;a campus club or organization.;2024-09-12 13:43:19
felt;speech/rhetoric;the Israeli government.;on the quad;a student.;2024-09-12 13:50:18
experienced;physical assault;Jewish students.;in a classroom;a professor.;2024-09-12 13:51:39
felt;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;in my dorm;a campus club or organization.;2024-09-12 13:52:11
saw;speech/rhetoric;Jewish students.;online;a student.;2024-09-12 14:00:08
experienced;speech/rhetoric;the Israeli government.;in a classroom;a student.;2024-09-12 14:17:26
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-09-12 14:47:13
experienced;faculty conduct;Jewish students.;in a classroom;a professor.;2024-09-12 14:48:26
saw;something else;Jews or the Jewish community.;in a classroom;a student.;2024-09-12 16:11:52
experienced;faculty conduct;Jews or the Jewish community.;in a classroom;a professor.;2024-09-12 16:14:13
experienced;faculty conduct;Jewish students.;in a classroom;a professor.;2024-09-12 16:23:02
heard;graffiti;Israel.;in my dorm;a student.;2024-09-12 16:45:28
saw;faculty conduct;the Israeli government.;in a classroom;a professor.;2024-09-12 16:46:07
heard;speech/rhetoric;faculty, staff, or administrators.;off campus;a student.;2024-09-12 16:46:41
experienced;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2024-09-12 16:50:39
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;—;2024-09-12 16:56:06
heard;speech/rhetoric;the Israeli government.;online;someone online.;2024-09-12 16:57:15
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;i’m not sure/unknown.;2024-09-12 17:24:03
felt;faculty conduct;me.;in my dorm;—;2024-09-12 17:26:35
experienced;speech/rhetoric;Jews or the Jewish community.;at a student club;a campus club or organization.;2024-09-12 17:33:05
saw;graffiti;the Israeli government.;on the quad;i’m not sure/unknown.;2024-09-12 17:38:07
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;i’m not sure/unknown.;2024-09-12 17:38:26
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2024-09-12 17:40:16
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;someone online.;2024-09-12 17:51:36
saw;physical assault;me.;in a classroom;a student.;2024-09-12 17:52:06
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;a student.;2024-09-12 17:52:33
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;someone online.;2024-09-12 17:55:20
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-09-12 18:03:47
heard;speech/rhetoric;Jews or the Jewish community.;off campus;someone from off campus.;2024-09-12 18:17:09
experienced;speech/rhetoric;me.;in a classroom;a professor.;2024-09-12 18:29:10
felt;speech/rhetoric;Israel.;off campus;a student.;2024-09-12 18:38:19
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-09-12 18:59:25
heard;something else;me.;off campus;i’m not sure/unknown.;2024-09-12 19:01:23
experienced;speech/rhetoric;Israel.;in a classroom;a student.;2024-09-12 19:03:26
felt;speech/rhetoric;the Israeli government.;on the quad;—;2024-09-12 19:06:39
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a professor.;2024-09-12 20:03:48
heard;speech/rhetoric;Israel.;in a classroom;a student.;2024-09-12 20:12:43
experienced;physical assault;me.;on the quad;someone online.;2024-09-12 20:13:17
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;in a classroom;someone from off campus.;2024-09-12 20:32:10
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-09-12 21:17:34
heard;speech/rhetoric;me.;at my fraternity or sorority;a student.;2024-09-12 22:00:56
saw;property damage;faculty, staff, or administrators.;in my dorm;someone from off campus.;2024-09-12 22:46:21
felt;physical assault;Jewish students.;at a student club;someone from off campus.;2024-09-12 22:46:41
experienced;speech/rhetoric;me.;in a classroom;a student.;2024-09-12 22:50:14
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;i’m not sure/unknown.;2024-09-12 23:13:05
heard;speech/rhetoric;the Israeli government.;at Hillel or Chabad;a student.;2024-09-12 23:24:00
saw;graffiti;Israel.;off campus;i’m not sure/unknown.;2024-09-12 23:24:35
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2024-09-12 23:25:20
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;online;someone online.;2024-09-12 23:44:55
experienced;graffiti;—;online;a student.;2024-09-13 03:23:40
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;i’m not sure/unknown.;2024-09-13 03:24:12
experienced;speech/rhetoric;Jews or the Jewish community.;off campus;someone from off campus.;2024-09-13 03:48:45
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-09-13 04:25:11
saw;property damage;Jewish students.;off campus;i’m not sure/unknown.;2024-09-13 04:36:12
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-09-13 05:35:17
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a student.;2024-09-13 05:38:57
heard;speech/rhetoric;Israel.;in a classroom;i’m not sure/unknown.;2024-09-13 05:41:43
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a campus club or organization.;2024-09-13 05:58:17
experienced;speech/rhetoric;Jews or the Jewish community.;in my dorm;a student.;2024-09-13 07:17:28
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2024-09-13 07:39:03
heard;graffiti;Israel.;on the quad;i’m not sure/unknown.;2024-09-13 07:39:32
experienced;speech/rhetoric;Israel.;in a classroom;a student.;2024-09-13 07:54:33
saw;property damage;Israel.;on the quad;a campus club or organization.;2024-09-13 08:17:38
saw;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2024-09-13 08:18:00
experienced;speech/rhetoric;Jewish students.;off campus;i’m not sure/unknown.;2024-09-13 08:23:53
felt;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-09-13 09:00:38
heard;speech/rhetoric;me.;at a student club;a student.;2024-09-13 09:02:45
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-09-13 09:08:53
felt;speech/rhetoric;me.;on the quad;a student.;2024-09-13 09:12:33
saw;graffiti;the Israeli government.;in my dorm;a student.;2024-09-13 09:14:20
experienced;speech/rhetoric;Israel.;in my dorm;a student.;2024-09-13 09:15:03
felt;something else;Israel.;in a classroom;a professor.;2024-09-13 09:15:18
felt;speech/rhetoric;me.;in my dorm;a student.;2024-09-13 09:22:14
saw;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;on the quad;a campus club or organization.;2024-09-13 09:26:41
felt;graffiti;Jewish students.;in my dorm;i’m not sure/unknown.;2024-09-13 09:36:51
felt;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;on the quad;a campus club or organization.;2024-09-13 09:44:02
experienced;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;off campus;a campus club or organization.;2024-09-13 09:51:31
felt;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;at Hillel or Chabad;a student.;2024-09-13 10:04:10
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-09-13 10:09:16
—;property damage;—;—;—;2024-09-13 10:09:19
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;i’m not sure/unknown.;2024-09-13 10:45:16
experienced;speech/rhetoric;me.;off campus;a student.;2024-09-13 10:48:55
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-09-13 10:55:15
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a student.;2024-09-13 10:55:53
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;i’m not sure/unknown.;2024-09-13 11:32:49
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;a campus club or organization.;2024-09-13 11:51:48
heard;speech/rhetoric;Jews or the Jewish community.;online;i’m not sure/unknown.;2024-09-13 12:00:16
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a student.;2024-09-13 12:15:43
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in a classroom;a professor.;2024-09-13 12:31:50
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;someone from off campus.;2024-09-13 12:36:15
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2024-09-13 12:36:41
heard;speech/rhetoric;Israel.;in a classroom;a student.;2024-09-13 13:19:09
experienced;speech/rhetoric;Israel.;in a classroom;a student.;2024-09-13 13:48:47
saw;speech/rhetoric;Israel.;online;a campus club or organization.;2024-09-13 13:58:19
felt;speech/rhetoric;the Israeli government.;on the quad;—;2024-09-13 13:58:39
—;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;someone online.;2024-09-13 14:05:44
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at Hillel or Chabad;someone from off campus.;2024-09-13 14:11:33
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;i’m not sure/unknown.;2024-09-13 14:21:35
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;i’m not sure/unknown.;2024-09-13 14:27:00
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-09-13 15:10:30
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2024-09-13 15:43:13
experienced;property damage;faculty, staff, or administrators.;on the quad;i’m not sure/unknown.;2024-09-13 15:49:40
saw;something else;faculty, staff, or administrators.;off campus;i’m not sure/unknown.;2024-09-13 15:50:26
felt;speech/rhetoric;Israel.;in a classroom;a student.;2024-09-13 16:19:56
saw;call for BDS (Boycott, Divestment, Sanctions);me.;online;a student.;2024-09-13 16:54:49
experienced;speech/rhetoric;the Israeli government.;in a classroom;a student.;2024-09-13 16:56:23
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;a campus club or organization.;2024-09-13 17:43:20
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;—;2024-09-13 17:50:17
—;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;someone from off campus.;2024-09-13 18:18:12
experienced;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2024-09-13 18:51:47
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a student.;2024-09-13 18:57:27
heard;speech/rhetoric;Israel.;on the quad;a student.;2024-09-13 19:10:16
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in a classroom;a student.;2024-09-13 19:11:15
—;call for BDS (Boycott, Divestment, Sanctions);—;—;—;2024-09-13 19:22:13
saw;graffiti;Israel.;online;a campus club or organization.;2024-09-13 19:36:13
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2024-09-13 19:46:13
heard;speech/rhetoric;me.;in a classroom;a campus club or organization.;2024-09-13 19:58:38
experienced;call for BDS (Boycott, Divestment, Sanctions);me.;in a classroom;a student.;2024-09-13 19:58:58
—;speech/rhetoric;Israel.;—;i’m not sure/unknown.;2024-09-13 20:34:34
heard;faculty conduct;the Israeli government.;online;a professor.;2024-09-13 21:17:17
experienced;speech/rhetoric;me.;on the quad;a student.;2024-09-13 21:18:55
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a campus club or organization.;2024-09-13 21:23:38
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;i’m not sure/unknown.;2024-09-13 22:06:17
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;a campus club or organization.;2024-09-13 23:24:49
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a student.;2024-09-14 02:43:56
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a student.;2024-09-14 04:02:37
experienced;speech/rhetoric;the Israeli government.;in my dorm;a student.;2024-09-14 07:11:17
saw;speech/rhetoric;Israel.;in a classroom;—;2024-09-14 09:55:08
heard;speech/rhetoric;Israel.;online;a student.;2024-09-14 10:10:03
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;—;2024-09-14 10:21:39
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2024-09-14 10:50:15
felt;something else;the Israeli government.;in a classroom;a student.;2024-09-14 11:05:56
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-09-14 11:29:12
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;i’m not sure/unknown.;2024-09-14 12:00:18
saw;graffiti;faculty, staff, or administrators.;on the quad;i’m not sure/unknown.;2024-09-14 12:21:43
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;i’m not sure/unknown.;2024-09-14 12:31:55
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a professor.;2024-09-14 12:36:42
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;i’m not sure/unknown.;2024-09-14 12:46:08
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-09-14 12:46:43
heard;speech/rhetoric;Jews or the Jewish community.;on the quad;i’m not sure/unknown.;2024-09-14 12:47:12
saw;property damage;faculty, staff, or administrators.;in a classroom;i’m not sure/unknown.;2024-09-14 12:51:27
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;i’m not sure/unknown.;2024-09-14 12:52:10
felt;faculty conduct;the Israeli government.;in a classroom;a professor.;2024-09-14 12:57:39
experienced;speech/rhetoric;Israel.;on the quad;a student.;2024-09-14 12:58:11
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2024-09-14 14:08:00
felt;something else;the Israeli government.;online;a student.;2024-09-14 14:09:59
felt;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;online;a student.;2024-09-14 14:12:09
felt;graffiti;the Israeli government.;online;a student.;2024-09-14 15:19:57
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;someone online.;2024-09-14 16:11:38
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-09-14 16:31:56
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-09-14 16:32:38
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2024-09-14 16:45:38
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a professor.;2024-09-14 17:55:10
experienced;faculty conduct;Jews or the Jewish community.;in a classroom;a professor.;2024-09-14 17:55:30
saw;speech/rhetoric;Israel.;online;—;2024-09-14 17:56:59
saw;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;in a classroom;a student.;2024-09-14 18:22:09
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;—;a student.;2024-09-14 19:20:07
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a professor.;2024-09-14 20:33:25
experienced;speech/rhetoric;the Israeli government.;online;someone online.;2024-09-14 21:35:08
experienced;physical assault;me.;in my dorm;—;2024-09-14 21:35:35
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a student.;2024-09-14 22:15:29
felt;speech/rhetoric;the Israeli government.;at a student club;—;2024-09-14 23:28:31
felt;call for BDS (Boycott, Divestment, Sanctions);me.;in a classroom;a student.;2024-09-15 04:28:34
heard;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;in a classroom;a student.;2024-09-15 04:29:33
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2024-09-15 06:15:15
felt;speech/rhetoric;Israel.;in a classroom;a professor.;2024-09-15 07:21:32
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-09-15 09:40:28
experienced;speech/rhetoric;Jewish students.;on the quad;a student.;2024-09-15 12:05:59
saw;speech/rhetoric;Jewish students.;at Hillel or Chabad;a campus club or organization.;2024-09-15 13:05:09
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a campus club or organization.;2024-09-15 13:33:35
experienced;faculty conduct;me.;in a classroom;a professor.;2024-09-15 13:57:30
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at my fraternity or sorority;a campus club or organization.;2024-09-15 14:24:00
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a professor.;2024-09-15 14:38:00
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-09-15 15:25:33
—;call for BDS (Boycott, Divestment, Sanctions);—;—;—;2024-09-15 15:45:36
felt;graffiti;Israel.;at my fraternity or sorority;i’m not sure/unknown.;2024-09-15 16:26:31
felt;speech/rhetoric;me.;off campus;someone online.;2024-09-15 16:26:59
saw;physical assault;Jewish students.;at my fraternity or sorority;a student.;2024-09-15 16:27:35
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;i’m not sure/unknown.;2024-09-15 16:56:06
experienced;graffiti;Israel.;off campus;i’m not sure/unknown.;2024-09-15 17:48:55
felt;speech/rhetoric;the Israeli government.;—;—;2024-09-15 18:40:47
experienced;graffiti;Israel.;in a classroom;i’m not sure/unknown.;2024-09-15 19:28:00
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;—;a student.;2024-09-15 20:09:30
experienced;speech/rhetoric;me.;online;a student.;2024-09-15 20:25:34
experienced;speech/rhetoric;Israel.;off campus;a student.;2024-09-15 20:30:16
heard;speech/rhetoric;the Israeli government.;on the quad;i’m not sure/unknown.;2024-09-15 20:56:34
experienced;call for BDS (Boycott, Divestment, Sanctions);me.;online;someone from off campus.;2024-09-15 21:48:05
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-09-16 06:44:44
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-09-16 07:42:41
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in a classroom;—;2024-09-16 09:55:30
heard;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;at a student club;a campus club or organization.;2024-09-16 11:00:43
experienced;speech/rhetoric;me.;on the quad;—;2024-09-16 12:02:57
saw;graffiti;Israel.;in a classroom;i’m not sure/unknown.;2024-09-16 12:02:58
experienced;faculty conduct;Israel.;at a student club;a campus club or organization.;2024-09-16 12:03:45
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2024-09-16 12:05:48
experienced;physical assault;me.;on the quad;a professor.;2024-09-16 12:06:38
